status,path,category,added_lines,deleted_lines,final_lines,bytes,sha256
M,.gitattributes,build-audit,9,0,30,1442,30ed748510c41955ad2360c019c485befd36d795de2271417d57fb5e2f13fc70
A,Directory.Build.targets,build-audit,50,0,50,2618,3ae7ba4eba123da741df29f8cce8bf8bc9a28ba01d885f48b3056fa54509fa33
A,HOST_CONTINUATIONS.md,documentation,15,0,15,440,72c0390775a38e1fde40362cfbfc0fa7a8614d597f5c9d8f36fd9436a0337640
A,Jint.HostContinuations.AotSmoke/Jint.HostContinuations.AotSmoke.csproj,aot-smoke,23,0,23,953,272313034b4b0d41a2b81dd470e7253a69ef1e61c0252252164c3e9af3328068
A,Jint.HostContinuations.AotSmoke/Program.cs,aot-smoke,192,0,192,6514,c46534399259a1e8ff415a6db491e350bb7b81e5c88425f897986af32af2e82d
M,Jint.SourceGenerators/Jint.SourceGenerators.csproj,build-audit,2,1,28,1082,8fdf109a0a616b6de58da77b0f691e87ba5f76879f587cd2fbcc0735eecbcea6
A,Jint.Tests/Runtime/HostContinuationTests.cs,test,726,0,726,28056,49294092d2c78683638ceab75159eceb1a6f01d97c66e0e664afd3353413c5e0
M,Jint.slnx,build-audit,3,0,34,1562,7bb6d597cec5b306d752d7a1d3dc883257a351b7ffab45c9f2bba0829ed76c90
M,Jint/Engine.Advanced.cs,runtime,61,0,230,9206,ff1a1305781dda70e08e43eb54fd0982bbe27f94ebeab0922158a984dce419b5
A,Jint/Engine.HostContinuations.cs,runtime,365,0,365,12484,86073a815db0a15cd26446253a037bad344a510fbda933e6c51d80d7f5952d59
M,Jint/Engine.cs,runtime,25,0,2275,89909,7887609d666512652bdce4257c0fdd58aede9f0d3a72e86e471e2b39194065f9
M,Jint/Native/Function/Function.cs,runtime,7,2,659,23577,30b6c923f1b94dd0f6fc6b43b1dbea47fb99b43fbaa7837c19dfdd34d0ceb3ab
M,Jint/Native/Function/ScriptFunction.cs,runtime,123,0,670,28962,cc133418385cf17905f9b4d1ca9740bb9eb9070ff7055f8b36f28ce10c5b0300
A,Jint/Runtime/Continuations/HostContinuationFunction.cs,runtime,114,0,114,4381,91bfcd1267e180db50b59605cc8755ebcc9b3a7870c11382d4d9772a72e2bd1a
A,Jint/Runtime/Continuations/HostContinuationState.cs,runtime,693,0,693,21378,c72ee0fa7d2f70b98382fb16088f235afa96ca373d4c6d998de02afa96752127
A,Jint/Runtime/Continuations/IHostContinuationScheduler.cs,runtime,31,0,31,1154,7902a791d2046d71790ee63f99d6268985c3738e4388ac6d7f64556eaf25748f
M,Jint/Runtime/Environments/ExecutionContext.cs,runtime,15,8,161,6197,a9dd1566a98a577aeb866c6f88e456b0b823e88019f7c2af84e60d3ff7c74a6d
M,Jint/Runtime/Interpreter/Expressions/JintCallExpression.cs,runtime,289,112,496,18130,77a5eb0be5bbf05fe44dfd640d8797222e29b9424113bbb7b92648cb8fd74fc6
M,Jint/Runtime/Interpreter/Expressions/JintNewExpression.cs,runtime,26,4,109,4295,dede396a1558ea4e1204a1cde02a419f96960ebdc3614f41cac423dcc68e2610
M,Jint/Runtime/Interpreter/JintFunctionDefinition.cs,runtime,57,0,1520,63923,6496282cfcdb80785b2c4c2e17a7098491ef1fbd357567216b4659d97e840311
M,Jint/Runtime/SuspendData.cs,runtime,12,0,442,15576,450f0ac7657ac11bd885e9a38f977b252041943fc99812f8d65d88985bc66b28
A,docs/host-continuations/API-USAGE.md,documentation,230,0,230,7221,b16fa0c9d580b5d3c27a6dd9272f87372ab960eb1de8b4d98b5b2eb4463637e7
A,docs/host-continuations/AUDIT-MANIFEST.md,documentation,72,0,72,2522,121e2cccd2c3fac52237252d9f5526d1c3ff46724601c33df0f335813531b8f7
A,docs/host-continuations/CHANGE-AUDIT.md,documentation,137,0,137,8636,802bba50718167e003d1b7f41878697bf909936a78cf0a6f6bf58b4e57335fa4
A,docs/host-continuations/DESIGN.md,documentation,210,0,210,9022,6e5ab4801caddf721c687af1066462ea08338e050e785f3aed26bc7a0d9712c8
A,docs/host-continuations/NATIVEAOT-AUDIT.md,documentation,113,0,113,3122,e2a53fbe1c8efc9bdb948bb6a27c886f3f7705db688fe1021a193135204dbb6c
A,docs/host-continuations/OFFLINE-BUILD.md,documentation,161,0,161,4870,abd569f2cea1cd34cb5d9c67ae193067f9aa0ae6432a9ddee736bfba7ac8049b
A,docs/host-continuations/README.md,documentation,82,0,82,4303,dfec297024f121358d3915db88fae0a14df282c23933c9b6c5b12470cda66069
A,docs/host-continuations/SECURITY-AND-RISKS.md,documentation,81,0,81,2885,77b955431523835a7257899417803a4f8af0bb98a36bf249f702c2e77f752c0d
A,docs/host-continuations/SUPPORTED-SURFACE.md,documentation,76,0,76,4660,d18349353d4cb0ae3baac4afed2d8c06a9ea989c44f44e35eb636657bd394312
A,docs/host-continuations/TEST-TRACEABILITY.md,documentation,94,0,94,3909,44724ba82447c01f1da2105e086c0a5298194f6aa2e3ddcc0f4e400b8e33be51
A,docs/host-continuations/THREADING-AND-LIFECYCLE.md,documentation,103,0,103,4138,a90732b7c3d450b3888025a9348122d4b6fc7d042977f9964ed1eb1fbfd9ac37
A,eng/host-continuations/NuGet.offline.config.example,build-audit,10,0,10,300,f55c37e069c4512c74661cf939d9d8aa45cf91040ce7c490cde19332a9a2f92b
A,eng/host-continuations/offline-build.sh,build-audit,172,0,172,5326,252f836411ed51727bf645845d2d796563d53ec39291c20657d380c77d0df08e
